path,category,module,baseline,read_status,crosscheck_status,runtime_status,task_id,evidence,gap
src/creative_studio/ai_v2/**,源码,ai_v2,历史快照 HEAD 6f18b62; 25 Python files,已读取,已核对,通过,T02-001,file-inventory.json; reports/T02-001.md; 124 ai_v2 tests,跨模块授权、网关内部和配置独立盘点待后续任务
src/creative_studio/app.py;src/creative_studio/auth.py;src/creative_studio/backup.py;src/creative_studio/project_projection.py;src/creative_studio/repository.py,源码,creative_studio core,历史快照 HEAD 6f18b62; 5 files,已读取,已核对,通过,T02-002,file-inventory.json; reports/T02-002.md; 38 targeted tests,主体盘点完成；F-005 程序修复延期；备份文档声明由 T03-001 核对
chat2api/**,源码/配置,chat2api gateway,HEAD be89f8a,已读取,已核对,部分通过,T02-003,file-inventory.json; reports/T02-003.md; targeted gateway/launcher tests,真实网关/外部 AI 图片未验证；registry hash 缺口 F-006 待 T02-006/T04
static/index.html;static/app.js;static/styles.css;static/ai-v2/**;static/*prototype*,前端,static frontend,HEAD be89f8a,已读取,已核对,定向通过,T02-004;T04-002,file-inventory.json; src/creative_studio/app.py:_static; reports/T02-004.md; reports/T04-002.md; privacy/frontend contract tests,浏览器/真实服务/跨设备资源未验证
tests/**,测试,test suite,待执行基线 HEAD be89f8a,已读取,已核对,失败（199：3 failures/44 errors）,T02-005,file-inventory.json; reports/T02-005.md; unittest log in TEMP,主要错误受 F-006 registry hash mismatch 与缺少 curl_cffi 影响；真实服务未验证
config/**,配置,ai/config registry,待执行基线 HEAD be89f8a,已读取,已核对,失败（registry hash mismatch）,T02-006;T07-001,file-inventory.json; reports/T02-006.md; reports/T07-001.md; prompt_registry.py; production_gate,static/carousel registry hash 与实际模板不一致；F-006 保留为 gate 阻断
launcher.py;proxy_relay.py;proxy_workbench.py,启动/脚本,launcher and relay,HEAD be89f8a,已读取,已核对,通过,T02-003,file-inventory.json; reports/T02-003.md; test_launcher_proxy,真实进程/代理出口未验证
requirements.txt,依赖,runtime dependencies,HEAD be89f8a,已读取,部分核对,通过,T02-003,file-inventory.json; chat2api/requirements.txt; compileall,依赖锁定与外网安装状态未独立验证
README.md;AGENTS.md;docs/project-rules/CODE_STYLE.md;docs/project-rules/CONTEXT.md;CHANGELOG.md;docs/project-rules/项目代码地图.md;docs/current-state.md,规则/文档,root project docs,HEAD be89f8a + T06 docs changes,已读取,已核对,不适用,T03-001;T05-001;T06-001;T07-001,reports/T03-001.md;reports/T05-001.md;reports/T06-001.md;reports/T07-001.md;链接/入口/语义检查,当前事实索引与规则入口已验证；不含 progress.md
docs/project-rules/operations.md;docs/ai-rebuild-master-plan.md,文档,operations and AI plan,HEAD be89f8a + T06 docs changes,已读取,已核对,部分通过,T03-001;T06-001;T07-001,reports/T03-001.md;reports/T06-001.md;reports/T07-001.md;T02-005/T02-006 evidence,路径/命令与当前入口一致；registry hash 阻断加载，AI 总纲历史需按索引核对
docs/project-rules/CODE_STYLE.md;docs/project-rules/CONTEXT.md;docs/project-rules/operations.md;docs/project-rules/项目代码地图.md,文档整理,project-rules relocation,HEAD 97e33ef + DOCS-001 changes,已读取,已核对,不适用,DOCS-001,reports/DOCS-001.md;入口和历史引用扫描,四份文档已集中；无源码变更；既有运行/审批限制不变
docs/deployment/code-baseline-20260908.md;docs/deployment/live-deployment.md;docs/deployment/public-startup-guide.md;docs/release/multiplayer-readiness.md;docs/release/rollback.md;docs/release/runbook.md,文档,deployment and release,HEAD be89f8a + T06 docs changes,已读取,已核对,未验证外部部署,T03-002;T06-001;T07-001,reports/T03-002.md;reports/T06-001.md;reports/T07-001.md;launcher/chat2api/backup.py;T02-003/T02-005,历史快照均回链当前索引；公网 HTTP/live 入口和服务器 ref 未重新验收
docs/adr/*.md;docs/research/*.md,文档,ADR and research,HEAD be89f8a,已读取,已核对,不适用,T03-003,reports/T03-003.md;源码/测试/T02 evidence,ADR 约束可复用；真实外部能力仍未验证
docs/superpowers/handoffs/2026-09-05-*.md;docs/superpowers/handoffs/2026-09-06-*.md;docs/superpowers/specs/2026-09-04-*.md;docs/superpowers/specs/2026-09-05-*.md;docs/superpowers/plans/2026-09-05-*.md;docs/ai/ai-v2-prompt-approval.md,文档,superpowers current entries,HEAD be89f8a + T06 docs changes,已读取,已核对,不适用,T03-003;T06-001;T07-001,reports/T03-003.md;reports/T06-001.md;reports/T07-001.md;T02-006;registry/eval evidence,历史 handoff/审批快照已回链并完成引用检查；Prompt lifecycle/approval 冲突仍是待业务确认项
repo-audit-kit/**;docs/repo-audit/**,审计工作材料,repo-audit records,工作区未跟踪 2026-09-08,已清点,已核对,不适用,T01-001;T07-001,RUN_ONE_TASK.md;STATE.md;QUEUE.csv;reports/T07-001.md;CSV/依赖检查,与产品源码和正式文档分开计数
