id,card,scope,status,depends_on,children,baseline,report,next_action
T01-001,repo-audit-kit/tasks/T01_baseline.md,Git和工作区基线、文件清单、入口和审计初始化,done,,,历史快照 HEAD 6f18b62; inventory 112 files; aggregate 7cc1b235f71777b913076201691d4df46bdfa23c199248b1d7b98d2015ba5236,docs/repo-audit/reports/T01-001.md,继续 T02-001
T02-001,repo-audit-kit/tasks/T02_module_inventory.md,src/creative_studio/ai_v2 模块入口调用者契约存储与测试关系,done,T01-001,,HEAD 6f18b62,docs/repo-audit/reports/T02-001.md,继续 T02-002
T02-002,repo-audit-kit/tasks/T02_module_inventory.md,src/creative_studio 核心应用认证仓储备份与项目投影,done,T01-001,,HEAD 6f18b62,docs/repo-audit/reports/T02-002.md,主体盘点已完成；F-005 程序缺陷延期，备份文档声明并入 T03-001
T02-007,repo-audit-kit/tasks/T02_module_inventory.md,backup.py 恢复目标目录边界的历史缺陷来源记录（不单独执行审计）,not_applicable,T02-002,,HEAD 6f18b62,docs/repo-audit/reports/T02-007.md,保留 F-005 来源；程序修复 deferred，文档准确性由 T03-001 核对
T02-003,repo-audit-kit/tasks/T02_module_inventory.md,chat2api 网关路由配置会话图片任务和启动入口,done,T01-001,,HEAD be89f8a,docs/repo-audit/reports/T02-003.md,继续 T02-004；保留 F-006 供 T02-006/T04-001 核对
T02-004,repo-audit-kit/tasks/T02_module_inventory.md,正式 static 前端入口及 ai-v2 辅助页面,done,T01-001,,HEAD be89f8a,docs/repo-audit/reports/T02-004.md,继续 T02-005；浏览器和真实服务验证保留为限制
T02-005,repo-audit-kit/tasks/T02_module_inventory.md,tests 测试分组及测试夹具运行边界,done,T01-001,,HEAD be89f8a,docs/repo-audit/reports/T02-005.md,继续 T02-006；保留 F-006 与缺少 curl_cffi 的运行限制
T02-006,repo-audit-kit/tasks/T02_module_inventory.md,config 与 Prompt/Schema/Eval registry 配置,done,T01-001,,HEAD be89f8a,docs/repo-audit/reports/T02-006.md,继续 T03-001；F-006 保持 deferred，需核对文档与生产/候选快照关系
T03-001,repo-audit-kit/tasks/T03_doc_verification.md,"根规则、当前状态入口、运维与 AI 文档组：AGENTS.md; docs/project-rules/CODE_STYLE.md; README.md; docs/project-rules/CONTEXT.md; docs/project-rules/项目代码地图.md; CHANGELOG.md; docs/project-rules/operations.md; docs/ai-rebuild-master-plan.md",done,T02-001;T02-002;T02-003;T02-004;T02-005;T02-006,,HEAD be89f8a,docs/repo-audit/reports/T03-001.md,继续 T03-002；F-005/F-006/F-007 保留供后续交叉复核
T03-002,repo-audit-kit/tasks/T03_doc_verification.md,"部署与发布文档组：docs/deployment/code-baseline-20260908.md; docs/deployment/live-deployment.md; docs/deployment/public-startup-guide.md; docs/release/multiplayer-readiness.md; docs/release/rollback.md; docs/release/runbook.md",done,T02-001;T02-002;T02-003;T02-004;T02-005;T02-006,,HEAD be89f8a,docs/repo-audit/reports/T03-002.md,继续 T03-003；F-008 保留供 T04-001 按时间/版本交叉复核
T03-003,repo-audit-kit/tasks/T03_doc_verification.md,"ADR、研究与受限 superpowers 文档组：docs/adr/*.md; docs/research/*.md; docs/superpowers/handoffs/2026-09-05-*.md; docs/superpowers/handoffs/2026-09-06-*.md; docs/superpowers/specs/2026-09-04-*.md; docs/superpowers/specs/2026-09-05-*.md; docs/superpowers/plans/2026-09-05-*.md；排除 progress.md 和其他完整历史全文",done,T02-001;T02-002;T02-003;T02-004;T02-005;T02-006,,HEAD be89f8a,docs/repo-audit/reports/T03-003.md,继续 T04-001；F-009 保留供 T04 按时间/commit/审批状态复核
T04-001,repo-audit-kit/tasks/T04_cross_review.md,creative_studio 与 chat2api 的启动和 AI 调用边界,done,T02-001;T02-002;T02-003;T02-004;T02-005;T02-006;T03-001;T03-002;T03-003,,HEAD be89f8a,docs/repo-audit/reports/T04-001.md,T04-001 已完成；结论已并入 T04-FINAL，停止在 T04
T04-002,repo-audit-kit/tasks/T04_cross_review.md,前端公开 DTO 与后端 schema/store/privacy 关系,done,T02-001;T02-002;T02-003;T02-004;T02-005;T02-006;T03-001;T03-002;T03-003,,HEAD be89f8a,docs/repo-audit/reports/T04-002.md,T04 全部完成；停止并以 T04-FINAL 作为 T05/T06 交接入口
T05-001,repo-audit-kit/tasks/T05_rules_cleanup.md,经 T03/T04 证实的规则冲突或重复,done,T03-001;T03-002;T03-003;T04-001;T04-002,,HEAD be89f8a,docs/repo-audit/reports/T05-001.md,已由 T06-001 完成后续文档整理；保留 F-003/F-004/F-005/F-006 deferred
T06-001,repo-audit-kit/tasks/T06_docs_and_history.md,registry/readiness/production-cutover、部署基准/实时记录与 2026-09-06 handoff 的当前事实索引和历史分层,done,T05-001;T03-001;T03-002;T03-003;T04-001;T04-002,,HEAD be89f8a,docs/repo-audit/reports/T06-001.md,T07-001 已完成；下一步新会话执行 T08-001；不处理 progress.md
T07-001,repo-audit-kit/tasks/T07_validation.md,整理结果和引用的定向验证,done,T05-001;T06-001,,HEAD be89f8a,docs/repo-audit/reports/T07-001.md,下一步必须由新会话执行 T08-001；F-006 等限制保留
T08-001,repo-audit-kit/tasks/T08_fresh_acceptance.md,新会话独立接手和全局台账验收,done,T07-001,,HEAD be89f8a,docs/repo-audit/reports/T08-001.md,验收完成但保留 F-006、审批/部署/live 和程序 deferred 限制；按当前事实索引维护
DOCS-001,repo-audit-kit/RUN_ONE_TASK.md,将四份规则/支持文档集中到 docs/project-rules 并更新仓库内路径,done,T08-001,,HEAD 97e33ef,docs/repo-audit/reports/DOCS-001.md,无下一动作；后续仅按路径或事实变化建立增量复核
