id,category,statement,evidence_status,source,impact,status,owner_task,verification
F-001,入口/环境,"测试发现命令依赖 PYTHONPATH=src；未设置时 69 个测试中 29 个模块导入失败",已证实,"命令输出 2026-09-08；README.md:46；docs/project-rules/operations.md:117","新会话或未安装包环境会误判测试失败",deferred,T03-001,"补环境变量后 .venv unittest 200 项通过；是否修正文档命令待 T03 核对"
F-002,范围/清单,"repo-audit-kit 为本轮未跟踪审计材料且未纳入产品代码清单",已证实,"git status --short；scripts/code_inventory.ps1；file-inventory.json","审计材料与产品基线混淆会污染后续哈希和覆盖统计",open,T01-001,"核对审计材料单独计数；不纳入产品清单"
F-003,接口契约,"AiV2Store Protocol 仅声明 reserve/claim 的少量方法，实际用例还依赖读取/保存/对账等未声明方法",已证实,"src/creative_studio/ai_v2/store.py:20-26；application.py；三类 use case","静态 seam 无法完整表达替换 store 所需能力，增加类型检查和跨模块阅读成本",deferred,T04-001,"T04-002 复核确认 facade 直接调用不自带 HTTP caller 授权；后续补 typed port/越权测试，本轮不改接口"
F-004,版本指纹,"AiV2Application.generate 的批次探测固定使用 prompt_version=v1，而 use case 以 registry spec.version 生成指纹",已证实,"src/creative_studio/ai_v2/application.py:169-182；narrative.py:54-57；static_visual.py:60-63；carousel_visual.py:116-120","未来 Prompt 版本升级可能使自动批次去重与实际运行 fingerprint 不一致",deferred,T04-001,"升级 registry 版本时补充回归或统一版本来源；当前 registry 全为 v1"
F-005,备份恢复边界,"restore_backup 的目标目录 containment 判断方向错误，目标位于 backup_dir 子目录时可成功恢复",已证实,"src/creative_studio/backup.py:255-256；临时复现 2026-09-08 输出 RESTORE_IN_BACKUP_ALLOWED True True","程序缺陷已发现但本次延期；备份恢复边界的文档准确性由 T03-001 核对",deferred,T03-001,"程序修复需另行授权和回归测试；不作为 T03/T04 完成条件"
F-006,配置完整性,"AI v2 registry 声明的 static/carousel prompt SHA-256 与当前模板文件实际值不一致，默认 registry 初始化失败",已证实,"config/ai_v2/prompts/registry.json；config/ai_v2/prompts/static-text-v1.txt；config/ai_v2/prompts/carousel-text-v1.txt；test_ai_v2_gateway_runtime 输出 AiV2PromptRegistryError","组合根和部分网关关系测试无法初始化；配置来源与文档版本关系不明",deferred,T02-006,"核对 registry/模板版本哈希和来源；修复与验证不得混入本轮 T02-003"
F-007,文档一致性,"项目代码地图与运维文档将 v2 prompt 标为 candidate/caller=null，而当前 registry 标为 production 并声明 caller；AI 总纲还声称 254 项 deterministic 测试/gate 已通过，当前可复现为 199 项且 registry 初始化失败",已证实,"docs/project-rules/项目代码地图.md:150-152；docs/project-rules/operations.md:11-16；docs/ai-rebuild-master-plan.md:496；config/ai_v2/prompts/registry.json；T02-005/T02-006 reports","维护者无法判断当前 prompt 生命周期、caller 和门禁是否有效，可能误把历史通过状态当作当前事实",open,"T03-001;T05-001;T06-001","规则入口已明确 registry 声明不等于运行就绪；T06 按 commit/时间/可加载性建立唯一文档事实索引"
F-008,部署状态,"部署/基准文档混合不同时间和工作树状态：一处声称 200 项测试与 gate 通过，实时记录又同时显示步骤未切换与备份/服务器动作已完成，当前基线实际为 199 项且有 failures/errors",已证实,"docs/deployment/code-baseline-20260908.md:88-89；docs/deployment/live-deployment.md:14,99-121,147-161；T02-005 report；STATE.md","发布者无法从单一记录判断可发布版本、外部部署是否完成以及哪些验证仍有效",open,T03-002,"由 T04-001 按版本/时间拆分事实并给后续 T05/T06 建立保留/修正/归档映射"
F-009,审批/生命周期,"受限 handoff/spec 对 Prompt 生命周期和生产批准状态互相冲突：next-session/readiness-baseline 仍为 candidate/caller=null 且要求单独审批，production-cutover 又称已绑定 production caller；当前 registry 还因 static/carousel hash mismatch 无法加载",已证实,"docs/superpowers/handoffs/2026-09-06-ai-v2-next-session-handoff.md:8-11,65-76；readiness-baseline.md:24-32；production-cutover-handoff.md:8-14；specs/2026-09-04-ai-v2-text-first-preview-design.md:416-420；T02-006 report","无法从 handoff 选择当前审批状态，可能误启用 live 或把 preview/contract 证据当作 production readiness",open,"T03-003;T05-001;T06-001","规则入口已明确 live/GUI 启动不等于批准；T06 仍需按版本、时间、批准来源整理 handoff"
F-010,启动授权边界,"launcher._environment() 在 GUI 启动时显式注入 CREATIVE_STUDIO_AI_V2_LIVE=1；这使直接 app 的 fail-closed/default candidate 规则与 launcher 的实际 live 路径分叉，现有文档没有独立审批记录证明二者等价",已证实,"launcher.py:832-845；src/creative_studio/app.py:127-142；AGENTS.md:36,58-61,65-72；docs/project-rules/operations.md:11-18","误把启动器点击当作 production Prompt 批准，可能在 registry/hash/外部链路未验证时启用真实 AI",open,"T04-001;T05-001","AGENTS 已明确 GUI 启动不等于批准；审批记录、静态 env 断言和受控 live smoke 仍待后续验证，当前不改 launcher"
